ID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
47011,3600.00,3600.00,0.14,36 months,other,0.16,CA,MORTGAGE,5113,690-694,10.00,715.00,1.00,n/a
21789,7350.00,7350.00,0.11,60 months,debt_consolidation,0.30,WA,MORTGAGE,5000,745-749,15.00,15093.00,1.00,4 years
29653,17000.00,16975.00,0.12,60 months,debt_consolidation,0.13,NC,MORTGAGE,4666.67,745-749,17.00,11677.00,2.00,10+ years
100440,18825.00,18825.00,0.21,60 months,debt_consolidation,0.19,CT,RENT,4583.33,680-684,8.00,17292.00,2.00,10+ years
88526,4200.00,4200.00,0.17,36 months,credit_card,0.15,AK,RENT,2083.33,660-664,7.00,3690.00,0.00,< 1 year
101715,5000.00,1750.04,0.12,36 months,other,0.10,NY,RENT,3416.67,670-674,17.00,15301.00,7.00,1 year
103374,3700.00,3600.00,0.08,36 months,other,0.10,CO,MORTGAGE,4985,720-724,6.00,11586.00,4.00,n/a
77844,6625.00,6625.00,0.18,36 months,debt_consolidation,0.33,IL,RENT,2916.67,665-669,13.00,11369.00,0.00,1 year
75012,15000.00,15000.00,0.12,36 months,credit_card,0.19,NJ,RENT,5000,705-709,18.00,13830.00,0.00,10+ years
73179,29175.00,29175.00,0.21,60 months,credit_card,0.09,MA,RENT,12500,695-699,9.00,15308.00,2.00,4 years
3162,6000.00,6000.00,0.12,36 months,debt_consolidation,0.10,CA,RENT,4166.67,695-699,13.00,15377.00,1.00,10+ years
2386,10000.00,10000.00,0.13,36 months,car,0.06,TX,RENT,4583,690-694,6.00,2432.00,1.00,4 years
57120,22000.00,22000.00,0.15,60 months,debt_consolidation,0.29,NC,MORTGAGE,3912,705-709,8.00,21633.00,0.00,10+ years
99360,18000.00,18000.00,0.25,60 months,moving,0.15,VT,RENT,4000,665-669,10.00,7377.00,3.00,8 years
54619,12000.00,11875.00,0.09,36 months,debt_consolidation,0.12,NY,RENT,5000,715-719,11.00,14717.00,0.00,4 years
50633,24000.00,24000.00,0.08,36 months,home_improvement,0.14,OK,MORTGAGE,6833.33,760-764,8.00,11058.00,0.00,10+ years
48560,5000.00,5000.00,0.12,36 months,credit_card,0.11,NJ,RENT,1833.33,685-689,7.00,5408.00,0.00,10+ years
2148,6500.00,5329.76,0.12,36 months,debt_consolidation,0.09,NJ,RENT,1750,720-724,8.00,9317.00,1.00,6 years
10441,4000.00,3925.00,0.11,36 months,other,0.14,VA,MORTGAGE,4700,695-699,7.00,19310.00,3.00,n/a
103448,16000.00,15825.00,0.17,36 months,credit_card,0.20,TX,MORTGAGE,6250,665-669,18.00,30772.00,5.00,1 year
14052,7300.00,7300.00,0.08,36 months,credit_card,0.12,FL,RENT,3090.5,735-739,5.00,13459.00,0.00,7 years
13863,25000.00,20850.00,0.16,60 months,small_business,0.01,CA,MORTGAGE,5666.67,785-789,2.00,0.00,4.00,10+ years
81254,19400.00,19400.00,0.23,60 months,credit_card,0.09,NC,MORTGAGE,6000,660-664,5.00,28921.00,0.00,10+ years
61835,11625.00,11625.00,0.16,36 months,debt_consolidation,0.31,OK,RENT,2860,680-684,14.00,8374.00,2.00,7 years
51625,10000.00,10000.00,0.12,36 months,debt_consolidation,0.12,CA,MORTGAGE,4375,695-699,7.00,11070.00,0.00,5 years
18629,24000.00,24000.00,0.07,36 months,debt_consolidation,0.06,OH,MORTGAGE,9583.33,755-759,9.00,22725.00,2.00,3 years
73376,3000.00,3000.00,0.11,36 months,small_business,0.02,NY,MORTGAGE,7750,685-689,7.00,874.00,0.00,10+ years
34961,19000.00,19000.00,0.12,60 months,credit_card,0.14,NJ,MORTGAGE,4791.67,730-734,9.00,16348.00,0.00,5 years
103249,2500.00,2500.00,0.15,36 months,home_improvement,0.23,VA,RENT,2530,670-674,7.00,5276.00,6.00,< 1 year
82112,12000.00,12000.00,0.12,36 months,debt_consolidation,0.15,FL,MORTGAGE,5000,710-714,11.00,13235.00,2.00,2 years
457,17350.00,7019.25,0.14,36 months,debt_consolidation,0.19,NH,OWN,3666.67,675-679,8.00,18966.00,2.00,6 years
11779,24000.00,14860.05,0.14,60 months,debt_consolidation,0.11,OH,MORTGAGE,7750,715-719,11.00,2594.00,2.00,5 years
34144,21000.00,21000.00,0.14,60 months,debt_consolidation,0.11,GA,MORTGAGE,5333.33,710-714,8.00,19431.00,0.00,8 years
95951,12000.00,12000.00,0.13,36 months,credit_card,0.06,IL,MORTGAGE,4833.33,665-669,9.00,12025.00,0.00,9 years
1034,5000.00,0.00,0.09,36 months,debt_consolidation,0.02,NJ,RENT,2600,730-734,13.00,814.00,0.00,8 years
2645,5000.00,5000.00,0.09,36 months,home_improvement,0.04,MN,MORTGAGE,2083.33,775-779,4.00,3901.00,2.00,4 years
28738,20000.00,18126.99,0.12,60 months,debt_consolidation,0.20,IL,MORTGAGE,4500,740-744,15.00,26424.00,0.00,10+ years
30600,12000.00,12000.00,0.17,60 months,small_business,0.15,OH,MORTGAGE,7500,675-679,14.00,28589.00,2.00,3 years
72499,8000.00,8000.00,0.17,36 months,debt_consolidation,0.28,IL,RENT,2833.33,670-674,10.00,9926.00,3.00,6 years
22700,1900.00,1900.00,0.07,36 months,other,0.23,FL,RENT,2208.33,725-729,11.00,8508.00,1.00,3 years
63404,23300.00,23275.00,0.24,60 months,debt_consolidation,0.34,GA,MORTGAGE,13666.67,660-664,15.00,72774.00,1.00,9 years
102234,8400.00,6725.00,0.15,36 months,debt_consolidation,0.16,MD,RENT,7083.33,640-644,7.00,14578.00,3.00,< 1 year
84318,8000.00,8000.00,0.14,36 months,debt_consolidation,0.21,NJ,OWN,3500,675-679,12.00,7498.00,0.00,1 year
71538,10000.00,10000.00,0.12,36 months,debt_consolidation,0.20,CA,RENT,6250,695-699,17.00,16348.00,0.00,5 years
7603,1600.00,1600.00,0.13,36 months,debt_consolidation,0.19,WA,MORTGAGE,3459,670-674,9.00,6281.00,3.00,10+ years
69401,7200.00,7200.00,0.16,36 months,debt_consolidation,0.25,FL,MORTGAGE,3333.33,675-679,13.00,8903.00,1.00,6 years
60968,15000.00,15000.00,0.18,36 months,debt_consolidation,0.13,FL,MORTGAGE,4333.33,670-674,9.00,17264.00,0.00,10+ years
10326,15400.00,9458.33,0.16,60 months,house,0.15,VA,RENT,6500,695-699,11.00,9989.00,1.00,4 years
57472,15000.00,15000.00,0.17,36 months,debt_consolidation,0.33,WY,RENT,3000,670-674,20.00,15092.00,0.00,10+ years
7565,12000.00,12000.00,0.10,36 months,educational,0.05,OH,MORTGAGE,3333.33,755-759,7.00,1117.00,3.00,3 years
84273,21000.00,21000.00,0.19,60 months,home_improvement,0.11,NY,MORTGAGE,10250,695-699,12.00,38820.00,0.00,10+ years
22150,6000.00,5950.00,0.10,36 months,major_purchase,0.09,FL,MORTGAGE,15416.67,715-719,9.00,105730.00,1.00,10+ years
46024,12000.00,12000.00,0.07,36 months,home_improvement,0.05,NY,MORTGAGE,9833.33,790-794,15.00,5584.00,2.00,10+ years
15315,7000.00,6975.00,0.07,36 months,vacation,0.21,CA,RENT,3000,715-719,12.00,10784.00,1.00,5 years
49872,5000.00,5000.00,0.09,36 months,credit_card,0.16,PA,MORTGAGE,6666.67,705-709,10.00,12307.00,0.00,7 years
84917,10000.00,10000.00,0.13,36 months,debt_consolidation,0.19,CA,RENT,8744.26,680-684,16.00,27086.00,0.00,< 1 year
103250,5000.00,4975.00,0.17,36 months,other,0.03,FL,RENT,3000,690-694,4.00,2474.00,8.00,1 year
17315,12000.00,11341.50,0.07,36 months,debt_consolidation,0.18,WA,RENT,5200,710-714,16.00,8182.00,0.00,< 1 year
28032,5000.00,5000.00,0.16,36 months,debt_consolidation,0.05,AL,MORTGAGE,2416.67,665-669,5.00,1620.00,0.00,6 years
74945,16000.00,16000.00,0.15,36 months,debt_consolidation,0.20,MA,RENT,6000,690-694,11.00,10915.00,1.00,7 years
33225,16000.00,16000.00,0.17,60 months,major_purchase,0.19,MD,RENT,7000,695-699,7.00,5231.00,1.00,10+ years
38534,10000.00,10000.00,0.07,36 months,debt_consolidation,0.24,IL,RENT,3750,765-769,9.00,1623.00,0.00,2 years
45644,10000.00,10000.00,0.10,36 months,debt_consolidation,0.18,NJ,RENT,2916.67,725-729,6.00,5670.00,1.00,10+ years
77074,20500.00,20500.00,0.12,36 months,credit_card,0.31,NV,MORTGAGE,4333.33,705-709,14.00,33294.00,0.00,10+ years
44426,21000.00,21000.00,0.19,60 months,credit_card,0.14,IL,MORTGAGE,6000,680-684,10.00,17008.00,1.00,10+ years
47862,24375.00,24375.00,0.14,36 months,debt_consolidation,0.14,PA,MORTGAGE,11500,695-699,16.00,35461.00,0.00,10+ years
5465,7000.00,7000.00,0.07,36 months,credit_card,0.09,AZ,MORTGAGE,3352,770-774,14.00,14014.00,2.00,< 1 year
81174,20000.00,20000.00,0.09,36 months,debt_consolidation,0.15,SC,MORTGAGE,6541.67,735-739,14.00,14272.00,2.00,< 1 year
88558,18000.00,18000.00,0.10,36 months,debt_consolidation,0.17,NY,MORTGAGE,6666.67,685-689,16.00,19850.00,1.00,6 years
3219,5000.00,5000.00,0.10,36 months,educational,0.12,AZ,MORTGAGE,9166.67,730-734,16.00,23658.00,2.00,10+ years
33641,18000.00,17975.00,0.12,36 months,debt_consolidation,0.10,AZ,RENT,3540,700-704,8.00,14960.00,0.00,< 1 year
51326,5875.00,5875.00,0.08,36 months,other,0.15,NV,RENT,5416.67,720-724,15.00,2617.00,2.00,4 years
79041,12000.00,12000.00,0.12,36 months,debt_consolidation,0.27,CA,RENT,3833.33,690-694,15.00,6038.00,0.00,4 years
103384,5000.00,5000.00,0.13,36 months,educational,0.11,FL,RENT,3800,710-714,4.00,1575.00,4.00,3 years
26867,14000.00,12800.00,0.15,60 months,other,0.08,MI,RENT,6166.67,710-714,5.00,2697.00,2.00,< 1 year
69249,5000.00,5000.00,0.15,36 months,debt_consolidation,0.17,GA,RENT,1750,675-679,3.00,10361.00,0.00,< 1 year
20592,5000.00,5000.00,0.05,36 months,wedding,0.23,OH,RENT,2833.33,750-754,7.00,4573.00,0.00,3 years
59206,10000.00,10000.00,0.17,36 months,credit_card,0.22,MI,MORTGAGE,2916.67,665-669,18.00,21245.00,0.00,10+ years
48554,20000.00,20000.00,0.08,36 months,credit_card,0.01,IL,RENT,10400,750-754,5.00,6969.00,0.00,1 year
59160,19000.00,19000.00,0.10,36 months,debt_consolidation,0.16,FL,RENT,3833.33,725-729,10.00,22033.00,1.00,7 years
93455,15000.00,15000.00,0.11,36 months,credit_card,0.16,GA,MORTGAGE,8750,690-694,9.00,15207.00,0.00,10+ years
13393,3000.00,2925.00,0.11,36 months,debt_consolidation,0.09,CA,RENT,4900,690-694,6.00,3996.00,1.00,10+ years
1670,2500.00,2275.77,0.08,36 months,major_purchase,0.18,OR,MORTGAGE,3666.67,785-789,6.00,406.00,0.00,10+ years
27520,5500.00,5500.00,0.16,60 months,debt_consolidation,0.18,RI,RENT,4250,700-704,16.00,13256.00,0.00,10+ years
19466,4800.00,4775.00,0.06,36 months,car,0.12,NJ,RENT,2800,735-739,6.00,9228.00,0.00,3 years
65134,34500.00,34450.00,0.07,36 months,small_business,0.16,CA,MORTGAGE,10000,805-809,.,5317.00,0.00,9 years
82079,10000.00,10000.00,0.12,36 months,debt_consolidation,0.20,CA,RENT,5833.33,695-699,16.00,25687.00,0.00,4 years
58346,4800.00,4800.00,0.20,36 months,debt_consolidation,0.20,NM,MORTGAGE,2500,660-664,4.00,21514.00,1.00,n/a
8692,16000.00,15875.00,0.14,36 months,debt_consolidation,0.13,IL,RENT,6750,685-689,12.00,6799.00,2.00,7 years
10594,15000.00,10765.99,0.08,36 months,credit_card,0.04,OH,RENT,10000,755-759,8.00,6055.00,2.00,5 years
38373,10000.00,10000.00,0.10,36 months,credit_card,0.15,WA,RENT,5000,710-714,8.00,16908.00,0.00,10+ years
50781,15000.00,15000.00,0.08,36 months,credit_card,0.22,NY,OWN,5000,730-734,8.00,21555.00,0.00,2 years
16414,7000.00,6875.00,0.10,36 months,major_purchase,0.14,CA,RENT,5000,690-694,5.00,1364.00,2.00,10+ years
77151,20950.00,20950.00,0.16,36 months,debt_consolidation,0.16,MA,MORTGAGE,12916.67,690-694,8.00,30188.00,1.00,4 years
59011,13000.00,13000.00,0.07,36 months,car,0.06,NJ,MORTGAGE,11666.67,750-754,16.00,11451.00,1.00,7 years
27095,7500.00,7500.00,0.05,36 months,home_improvement,0.22,OH,MORTGAGE,2583.33,785-789,11.00,2160.00,0.00,10+ years
77494,15000.00,15000.00,0.14,36 months,debt_consolidation,0.33,AZ,RENT,4500,675-679,20.00,13369.00,0.00,< 1 year
16667,3000.00,.,0.17,36 months,other,0.16,MD,RENT,7952,660-664,4.00,12578.00,0.00,8 years
100288,6000.00,6000.00,0.18,36 months,credit_card,0.33,MI,OWN,1666.67,665-669,12.00,15055.00,2.00,< 1 year
48798,14400.00,14400.00,0.07,36 months,home_improvement,0.07,FL,MORTGAGE,12500,770-774,6.00,1280.00,0.00,10+ years
75168,14675.00,14675.00,0.08,36 months,debt_consolidation,0.17,NY,MORTGAGE,3166.67,720-724,7.00,22549.00,0.00,10+ years
28368,5000.00,5000.00,0.08,36 months,debt_consolidation,0.23,WA,MORTGAGE,3000,720-724,9.00,3388.00,2.00,10+ years
40027,24000.00,24000.00,0.13,36 months,other,0.20,MN,RENT,4583.33,710-714,5.00,21377.00,0.00,5 years
89600,24000.00,24000.00,0.16,60 months,debt_consolidation,0.17,NC,MORTGAGE,7500,665-669,10.00,24126.00,0.00,7 years
61261,8000.00,8000.00,0.19,36 months,debt_consolidation,0.03,NY,RENT,3333.33,660-664,4.00,2832.00,0.00,n/a
6521,24500.00,24450.00,0.12,36 months,house,0.13,NY,OWN,12500,810-814,10.00,346.00,0.00,10+ years
99297,25000.00,25000.00,0.14,36 months,credit_card,0.28,NM,OWN,5416.67,710-714,11.00,18460.00,2.00,10+ years
89582,20000.00,20000.00,0.09,36 months,credit_card,0.11,IL,RENT,12083.33,680-684,8.00,25672.00,0.00,1 year
44626,25000.00,24975.00,0.21,36 months,credit_card,0.15,FL,RENT,7301.58,670-674,18.00,21675.00,0.00,4 years
75067,35000.00,35000.00,0.21,36 months,debt_consolidation,0.11,LA,MORTGAGE,7702,670-674,8.00,11346.00,0.00,10+ years
5468,3600.00,3600.00,0.13,36 months,debt_consolidation,0.02,NJ,MORTGAGE,6333,690-694,6.00,12135.00,3.00,< 1 year
89627,24000.00,24000.00,0.12,36 months,debt_consolidation,0.29,MD,MORTGAGE,7500,670-674,12.00,14804.00,1.00,< 1 year
37585,15000.00,15000.00,0.15,60 months,credit_card,0.17,NJ,RENT,4583.33,730-734,4.00,13115.00,1.00,8 years
28205,11200.00,11200.00,0.22,60 months,debt_consolidation,0.06,NY,RENT,5583.33,660-664,12.00,7952.00,2.00,10+ years
90531,10000.00,10000.00,0.19,36 months,other,0.18,SC,MORTGAGE,3750,675-679,10.00,7034.00,1.00,6 years
92989,30000.00,30000.00,0.18,36 months,other,0.09,MN,RENT,10192,710-714,12.00,24188.00,0.00,< 1 year
1269,3200.00,766.09,0.13,36 months,other,0.15,PA,RENT,2824,670-674,6.00,3318.00,1.00,7 years
85464,8000.00,8000.00,0.14,36 months,vacation,0.04,TX,RENT,6250,670-674,8.00,14607.00,0.00,1 year
41523,16000.00,16000.00,0.08,36 months,debt_consolidation,0.02,CA,MORTGAGE,7083.33,740-744,11.00,3076.00,0.00,5 years
63133,7000.00,7000.00,0.15,36 months,credit_card,0.16,CO,RENT,2666.67,670-674,11.00,11529.00,0.00,5 years
36576,3000.00,3000.00,0.08,36 months,credit_card,0.22,PA,MORTGAGE,5583.33,705-709,15.00,12968.00,0.00,3 years
43572,6000.00,6000.00,0.16,36 months,credit_card,0.22,MI,RENT,5583.33,665-669,9.00,36748.00,3.00,5 years
55803,14400.00,14400.00,0.11,36 months,debt_consolidation,0.06,CA,MORTGAGE,6833.33,700-704,15.00,10017.00,0.00,10+ years
19636,11700.00,11650.00,0.08,36 months,debt_consolidation,0.12,MO,MORTGAGE,4583.33,745-749,13.00,26769.00,1.00,10+ years
53054,12000.00,12000.00,0.18,36 months,debt_consolidation,0.17,CT,MORTGAGE,3666.67,670-674,10.00,7393.00,0.00,7 years
75785,11500.00,11500.00,0.11,36 months,debt_consolidation,0.10,AL,RENT,2916.67,700-704,6.00,9562.00,0.00,< 1 year
69242,18000.00,18000.00,0.23,60 months,debt_consolidation,0.09,WI,RENT,7083.33,660-664,6.00,13106.00,0.00,10+ years
39692,25000.00,23477.53,0.19,60 months,debt_consolidation,0.15,NV,MORTGAGE,5833.33,695-699,8.00,13785.00,0.00,10+ years
45245,6000.00,6000.00,0.08,36 months,house,0.07,NY,RENT,10416.67,710-714,9.00,20592.00,0.00,10+ years
28326,5000.00,5000.00,0.18,36 months,vacation,0.14,NJ,RENT,8125,675-679,5.00,29602.00,0.00,10+ years
41074,8500.00,8475.00,0.06,36 months,home_improvement,0.12,MO,MORTGAGE,6100,745-749,17.00,6370.00,0.00,10+ years
68962,10000.00,10000.00,0.08,36 months,medical,0.13,MN,MORTGAGE,7416.67,735-739,12.00,16297.00,2.00,10+ years
16221,16500.00,16175.00,0.12,60 months,home_improvement,0.06,MA,MORTGAGE,5833.33,715-719,8.00,30455.00,2.00,< 1 year
77324,16550.00,16550.00,0.17,36 months,debt_consolidation,0.33,MN,MORTGAGE,4333.33,675-679,15.00,12163.00,1.00,10+ years
84110,2500.00,2500.00,0.14,36 months,medical,0.21,NY,RENT,2666.67,665-669,9.00,15787.00,0.00,n/a
8549,10000.00,9850.00,0.10,36 months,debt_consolidation,0.17,KY,MORTGAGE,4500,730-734,8.00,6948.00,2.00,4 years
36716,5000.00,5000.00,0.08,36 months,debt_consolidation,0.10,CO,MORTGAGE,4333.33,755-759,5.00,1825.00,1.00,7 years
104040,6000.00,6000.00,0.11,36 months,debt_consolidation,0.12,NJ,RENT,6000,720-724,14.00,25090.00,4.00,10+ years
55501,8000.00,8000.00,0.06,36 months,debt_consolidation,0.05,OR,MORTGAGE,3500,815-819,9.00,6737.00,0.00,10+ years
47059,12000.00,12000.00,0.13,36 months,debt_consolidation,0.18,SC,MORTGAGE,9666.67,680-684,12.00,17226.00,0.00,5 years
41413,13250.00,13250.00,0.08,36 months,debt_consolidation,0.23,CO,RENT,2500,740-744,7.00,12957.00,0.00,< 1 year
12958,12000.00,11875.00,0.10,60 months,credit_card,0.17,FL,MORTGAGE,3791.67,780-784,10.00,59495.00,1.00,10+ years
28280,5200.00,5200.00,0.14,36 months,debt_consolidation,0.23,CA,MORTGAGE,5000,680-684,17.00,28118.00,2.00,5 years
85721,10000.00,10000.00,0.13,36 months,debt_consolidation,0.19,CO,RENT,4625,685-689,13.00,7411.00,0.00,2 years
46056,11700.00,11675.00,0.08,36 months,home_improvement,0.06,CA,MORTGAGE,3320.83,720-724,11.00,14301.00,0.00,10+ years
15164,6000.00,5750.00,0.07,36 months,debt_consolidation,0.09,CT,MORTGAGE,4500,760-764,10.00,4561.00,1.00,10+ years
30840,20000.00,19975.00,0.16,60 months,small_business,0.16,IL,MORTGAGE,3750,700-704,9.00,19872.00,1.00,< 1 year
32593,2000.00,2000.00,0.12,36 months,wedding,0.02,NY,RENT,2518.75,675-679,5.00,985.00,0.00,7 years
25133,4500.00,4500.00,0.06,36 months,debt_consolidation,0.21,NY,RENT,3644.83,765-769,8.00,1058.00,2.00,< 1 year
47228,20800.00,20800.00,0.19,60 months,credit_card,0.16,TX,RENT,6916.67,680-684,20.00,28764.00,1.00,10+ years
52698,8500.00,8500.00,0.10,36 months,debt_consolidation,0.07,CA,MORTGAGE,5333.33,705-709,10.00,3432.00,0.00,10+ years
40113,24500.00,23475.00,0.19,60 months,debt_consolidation,0.23,MD,RENT,4497,680-684,13.00,18906.00,0.00,10+ years
103784,2000.00,1975.00,0.11,36 months,other,0.21,NY,MORTGAGE,6833.33,705-709,19.00,20653.00,5.00,5 years
37291,14400.00,14375.00,0.13,60 months,debt_consolidation,0.16,GA,RENT,6250,730-734,6.00,28675.00,1.00,7 years
35615,4800.00,4800.00,0.12,36 months,debt_consolidation,0.18,UT,MORTGAGE,4500,670-674,9.00,30895.00,0.00,10+ years
73893,8325.00,8325.00,0.15,36 months,debt_consolidation,0.15,NY,RENT,2916.67,670-674,13.00,7171.00,0.00,4 years
1337,6600.00,3800.00,0.09,36 months,other,0.02,FL,OWN,2667,740-744,16.00,4889.00,1.00,< 1 year
80404,7750.00,7750.00,0.20,36 months,credit_card,0.09,CA,MORTGAGE,2000,660-664,3.00,5399.00,0.00,5 years
64690,6000.00,6000.00,0.14,36 months,credit_card,0.23,UT,RENT,2666.67,670-674,18.00,5955.00,0.00,10+ years
51424,18000.00,18000.00,0.18,36 months,debt_consolidation,0.20,WA,RENT,6916.67,665-669,15.00,23786.00,0.00,10+ years
39094,12000.00,12000.00,0.11,36 months,debt_consolidation,0.26,GA,RENT,5833.33,720-724,15.00,24893.00,3.00,10+ years
72766,10000.00,10000.00,0.16,36 months,debt_consolidation,0.13,AK,MORTGAGE,4458.33,675-679,7.00,6413.00,1.00,< 1 year
53648,19500.00,19500.00,0.21,36 months,debt_consolidation,0.03,WA,MORTGAGE,9250,675-679,5.00,8915.00,1.00,10+ years
45836,7000.00,7000.00,0.17,36 months,other,0.18,NY,OWN,2464.37,665-669,9.00,7089.00,0.00,3 years
80219,7300.00,7300.00,0.07,36 months,credit_card,0.20,GA,MORTGAGE,3416.67,730-734,14.00,23030.00,0.00,4 years
92363,27050.00,27050.00,0.17,60 months,credit_card,0.28,WA,MORTGAGE,5025,705-709,13.00,40037.00,1.00,10+ years
9468,15000.00,14925.00,0.14,36 months,other,0.05,NY,RENT,3000,705-709,4.00,5936.00,1.00,3 years
9244,8800.00,8800.00,0.08,36 months,other,0.21,PA,MORTGAGE,4833,790-794,6.00,306.00,4.00,5 years
33068,7000.00,7000.00,0.08,36 months,wedding,0.21,CT,RENT,6000,715-719,9.00,6659.00,0.00,< 1 year
80059,35000.00,35000.00,0.22,60 months,debt_consolidation,0.24,CA,MORTGAGE,11500,690-694,14.00,21977.00,1.00,2 years
63941,8500.00,8500.00,0.16,36 months,debt_consolidation,0.17,MI,RENT,2500,690-694,6.00,6491.00,1.00,1 year
10642,15000.00,15000.00,0.10,36 months,debt_consolidation,0.17,IL,MORTGAGE,6312,735-739,17.00,14339.00,2.00,2 years
60761,11000.00,11000.00,0.06,36 months,debt_consolidation,0.12,NC,MORTGAGE,5836.67,790-794,12.00,420.00,0.00,< 1 year
46017,3500.00,3500.00,0.16,36 months,debt_consolidation,0.13,AR,MORTGAGE,18333.33,665-669,8.00,11107.00,2.00,7 years
72670,6000.00,6000.00,0.12,36 months,wedding,0.21,GA,RENT,3333.33,685-689,8.00,4638.00,0.00,2 years
73765,5000.00,5000.00,0.16,60 months,other,0.12,VA,RENT,5416.67,690-694,7.00,8745.00,1.00,4 years
66710,21200.00,21175.00,0.18,36 months,credit_card,0.31,CA,RENT,4500,675-679,15.00,17250.00,0.00,10+ years
91334,35000.00,35000.00,0.15,36 months,debt_consolidation,0.20,PA,MORTGAGE,7500,695-699,11.00,29953.00,2.00,1 year
81620,4800.00,4800.00,0.19,60 months,other,0.28,TX,RENT,1560,680-684,9.00,6563.00,0.00,< 1 year
52405,8500.00,8500.00,0.07,36 months,debt_consolidation,0.05,CA,MORTGAGE,4166.67,740-744,8.00,7114.00,0.00,10+ years
26369,2650.00,2650.00,0.07,36 months,debt_consolidation,0.21,WV,OWN,1482.92,725-729,15.00,1808.00,2.00,4 years
83058,8575.00,8575.00,0.16,36 months,debt_consolidation,0.34,KY,MORTGAGE,4541.67,675-679,15.00,5180.00,1.00,10+ years
9885,5000.00,5000.00,0.14,36 months,other,0.19,CA,MORTGAGE,8583,670-674,9.00,8097.00,1.00,1 year
85272,13200.00,13200.00,0.15,36 months,debt_consolidation,0.09,KY,MORTGAGE,3333.33,680-684,10.00,5400.00,3.00,10+ years
83505,10750.00,10750.00,0.14,36 months,other,0.26,OH,RENT,2666.67,720-724,3.00,9800.00,0.00,8 years
80200,5450.00,5450.00,0.13,36 months,medical,0.26,AL,RENT,3500,670-674,9.00,7619.00,0.00,1 year
88893,10000.00,10000.00,0.13,36 months,credit_card,0.03,NY,MORTGAGE,9166.67,660-664,5.00,10079.00,1.00,6 years
102595,7500.00,224.99,0.13,36 months,other,0.01,CT,MORTGAGE,8750,675-679,3.00,3607.00,4.00,6 years
46350,2400.00,2375.00,0.09,36 months,debt_consolidation,0.11,NC,RENT,2333.33,705-709,8.00,2075.00,0.00,4 years
93551,15300.00,14850.00,0.11,36 months,debt_consolidation,0.11,OH,MORTGAGE,6833.33,670-674,11.00,7106.00,2.00,10+ years
32249,14000.00,14000.00,0.06,36 months,debt_consolidation,0.09,IL,MORTGAGE,8733.33,770-774,11.00,15108.00,0.00,6 years
72604,17325.00,17325.00,0.17,60 months,debt_consolidation,0.30,CA,RENT,3750,705-709,13.00,31362.00,1.00,9 years
37383,5400.00,5400.00,0.16,36 months,medical,0.20,GA,RENT,2666.67,660-664,9.00,11114.00,1.00,1 year
33155,14000.00,14000.00,0.17,36 months,credit_card,0.10,FL,MORTGAGE,12083.33,670-674,13.00,28318.00,0.00,< 1 year
46059,19125.00,19125.00,0.18,60 months,other,0.16,CA,OWN,3333.33,690-694,8.00,7858.00,0.00,5 years
2768,18000.00,13003.66,0.12,36 months,debt_consolidation,0.22,OH,MORTGAGE,6000,745-749,16.00,23518.00,2.00,9 years
